Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,QualityStatus,ExclusionReason,VoxFlowLabel,Split,SpeakerID,SampleID,ClipPath,DurationSec
HeStutters,1,93,39942720,39990720,0,0,0,0,0,0,1,1,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_93,data\processed\clips\HeStutters_1_93.wav,3.0
HeStutters,1,94,39987680,40035680,0,0,0,0,0,0,1,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_94,data\processed\clips\HeStutters_1_94.wav,3.0
HeStutters,1,95,40041440,40089440,0,0,0,0,0,0,1,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_95,data\processed\clips\HeStutters_1_95.wav,3.0
HeStutters,1,96,6270720,6318720,0,0,0,1,2,0,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_96,data\processed\clips\HeStutters_1_96.wav,3.0
HeStutters,1,98,40073280,40121280,0,0,0,0,0,3,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_98,data\processed\clips\HeStutters_1_98.wav,3.0
HeStutters,1,100,40669920,40717920,0,0,0,0,2,2,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_100,data\processed\clips\HeStutters_1_100.wav,3.0
HeStutters,1,101,40904160,40952160,0,0,2,1,0,0,0,1,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_101,data\processed\clips\HeStutters_1_101.wav,3.0
HeStutters,1,103,41236960,41284960,0,0,0,0,0,0,0,2,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_103,data\processed\clips\HeStutters_1_103.wav,3.0
HeStutters,1,104,41306560,41354560,0,0,0,0,0,3,1,1,0,1,0,1,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_104,data\processed\clips\HeStutters_1_104.wav,3.0
HeStutters,1,105,6492320,6540320,0,0,0,0,2,0,0,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_105,data\processed\clips\HeStutters_1_105.wav,3.0
HeStutters,1,107,6638560,6686560,0,0,0,0,0,0,0,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_107,data\processed\clips\HeStutters_1_107.wav,3.0
HeStutters,1,109,6978880,7026880,0,0,0,2,0,0,0,3,1,2,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_109,data\processed\clips\HeStutters_1_109.wav,3.0
HeStutters,1,110,7013120,7061120,0,0,0,0,0,0,0,0,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_110,data\processed\clips\HeStutters_1_110.wav,3.0
HeStutters,1,112,7141120,7189120,0,1,3,1,0,0,1,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_112,data\processed\clips\HeStutters_1_112.wav,3.0
HeStutters,1,115,2648640,2696640,0,0,0,0,1,2,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_115,data\processed\clips\HeStutters_1_115.wav,3.0
HeStutters,1,118,7956000,8004000,0,0,2,0,0,0,0,3,1,1,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_118,data\processed\clips\HeStutters_1_118.wav,3.0
HeStutters,1,120,8170240,8218240,0,0,1,0,0,3,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_120,data\processed\clips\HeStutters_1_120.wav,3.0
HeStutters,1,121,8976480,9024480,0,0,0,0,0,0,0,3,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_121,data\processed\clips\HeStutters_1_121.wav,3.0
HeStutters,1,126,9375360,9423360,0,1,0,0,0,0,1,1,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_126,data\processed\clips\HeStutters_1_126.wav,3.0
HeStutters,1,127,9410720,9458720,0,0,0,0,3,1,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_127,data\processed\clips\HeStutters_1_127.wav,3.0
HeStutters,1,131,10160800,10208800,0,0,0,0,0,0,0,0,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_131,data\processed\clips\HeStutters_1_131.wav,3.0
HeStutters,1,132,10280320,10328320,0,0,0,2,0,0,0,0,1,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_132,data\processed\clips\HeStutters_1_132.wav,3.0
HeStutters,1,133,10518720,10566720,0,0,1,3,0,1,0,2,0,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_133,data\processed\clips\HeStutters_1_133.wav,3.0
HeStutters,1,140,12821920,12869920,0,0,2,0,0,0,0,0,2,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_140,data\processed\clips\HeStutters_1_140.wav,3.0
HeStutters,1,144,13032640,13080640,0,0,3,0,0,0,1,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_144,data\processed\clips\HeStutters_1_144.wav,3.0
HeStutters,1,148,14402080,14450080,0,0,3,0,0,0,1,0,0,2,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_148,data\processed\clips\HeStutters_1_148.wav,3.0
HeStutters,1,150,14758560,14806560,0,0,0,2,0,0,0,0,1,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_150,data\processed\clips\HeStutters_1_150.wav,3.0
HeStutters,1,152,14980640,15028640,0,0,0,0,0,0,1,0,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_152,data\processed\clips\HeStutters_1_152.wav,3.0
HeStutters,1,155,15124320,15172320,0,0,0,0,3,0,0,0,0,1,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_155,data\processed\clips\HeStutters_1_155.wav,3.0
HeStutters,1,158,15173440,15221440,0,0,0,0,2,2,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_158,data\processed\clips\HeStutters_1_158.wav,3.0
HeStutters,1,163,15381440,15429440,0,0,1,0,2,0,0,0,0,1,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_163,data\processed\clips\HeStutters_1_163.wav,3.0
HeStutters,1,164,16015840,16063840,0,0,1,2,1,0,1,1,0,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_164,data\processed\clips\HeStutters_1_164.wav,3.0
HeStutters,1,167,16223360,16271360,0,0,0,1,2,0,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_167,data\processed\clips\HeStutters_1_167.wav,3.0
HeStutters,1,168,16315520,16363520,0,0,2,0,0,0,0,2,1,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_168,data\processed\clips\HeStutters_1_168.wav,3.0
HeStutters,1,172,16672480,16720480,0,0,0,0,1,2,0,2,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_172,data\processed\clips\HeStutters_1_172.wav,3.0
HeStutters,1,175,16834720,16882720,0,0,1,0,0,3,1,0,0,1,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_175,data\processed\clips\HeStutters_1_175.wav,3.0
HeStutters,1,178,16874240,16922240,0,0,0,0,0,0,0,3,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_178,data\processed\clips\HeStutters_1_178.wav,3.0
HeStutters,1,179,16914400,16962400,0,0,0,2,0,0,0,1,1,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_179,data\processed\clips\HeStutters_1_179.wav,3.0
HeStutters,1,180,16963680,17011680,0,0,2,0,0,0,0,1,1,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_180,data\processed\clips\HeStutters_1_180.wav,3.0
HeStutters,1,181,17010720,17058720,0,0,0,0,2,0,0,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_181,data\processed\clips\HeStutters_1_181.wav,3.0
HeStutters,1,182,17043200,17091200,0,0,2,1,0,0,1,0,1,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_182,data\processed\clips\HeStutters_1_182.wav,3.0
HeStutters,1,184,17369120,17417120,0,0,0,2,0,0,1,0,1,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_184,data\processed\clips\HeStutters_1_184.wav,3.0
HeStutters,1,186,17453920,17501920,0,0,0,1,2,0,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_186,data\processed\clips\HeStutters_1_186.wav,3.0
HeStutters,1,188,17666080,17714080,0,0,3,0,0,0,0,1,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_188,data\processed\clips\HeStutters_1_188.wav,3.0
HeStutters,1,189,17700640,17748640,0,0,0,2,0,0,0,0,1,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_189,data\processed\clips\HeStutters_1_189.wav,3.0
HeStutters,1,190,17865440,17913440,0,0,0,0,0,0,1,2,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_190,data\processed\clips\HeStutters_1_190.wav,3.0
HeStutters,1,191,17900000,17948000,0,0,2,0,0,0,0,0,1,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_191,data\processed\clips\HeStutters_1_191.wav,3.0
HeStutters,1,192,17972960,18020960,0,0,0,0,0,0,0,0,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_192,data\processed\clips\HeStutters_1_192.wav,3.0
HeStutters,1,193,18006240,18054240,0,0,0,0,0,2,0,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_193,data\processed\clips\HeStutters_1_193.wav,3.0
HeStutters,1,195,4043360,4091360,0,0,0,0,0,0,0,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_195,data\processed\clips\HeStutters_1_195.wav,3.0
HeStutters,1,198,19098880,19146880,0,0,0,0,0,0,1,1,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_198,data\processed\clips\HeStutters_1_198.wav,3.0
HeStutters,1,199,19138080,19186080,0,0,0,0,0,0,0,2,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_199,data\processed\clips\HeStutters_1_199.wav,3.0
HeStutters,1,201,19308960,19356960,0,0,0,2,1,0,0,0,0,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_201,data\processed\clips\HeStutters_1_201.wav,3.0
HeStutters,1,205,20301280,20349280,0,0,0,0,0,3,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_205,data\processed\clips\HeStutters_1_205.wav,3.0
HeStutters,1,206,20360480,20408480,0,0,0,2,0,0,0,1,1,1,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_206,data\processed\clips\HeStutters_1_206.wav,3.0
HeStutters,1,207,20414720,20462720,0,0,0,0,1,2,0,1,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_207,data\processed\clips\HeStutters_1_207.wav,3.0
HeStutters,1,210,20727200,20775200,0,1,0,0,0,3,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_210,data\processed\clips\HeStutters_1_210.wav,3.0
HeStutters,1,216,21037120,21085120,0,0,0,0,0,0,0,2,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_216,data\processed\clips\HeStutters_1_216.wav,3.0
HeStutters,1,217,21576320,21624320,0,0,1,2,0,0,1,0,0,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_217,data\processed\clips\HeStutters_1_217.wav,3.0
HeStutters,1,220,21794560,21842560,0,0,0,0,0,2,1,1,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_220,data\processed\clips\HeStutters_1_220.wav,3.0
HeStutters,1,222,21952160,22000160,0,0,3,0,1,0,1,2,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_222,data\processed\clips\HeStutters_1_222.wav,3.0
HeStutters,1,227,22919360,22967360,0,1,0,0,3,0,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_227,data\processed\clips\HeStutters_1_227.wav,3.0
HeStutters,1,228,22972800,23020800,0,0,0,0,0,0,0,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_228,data\processed\clips\HeStutters_1_228.wav,3.0
HeStutters,1,229,23255360,23303360,0,0,1,1,2,1,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_229,data\processed\clips\HeStutters_1_229.wav,3.0
HeStutters,1,234,23371520,23419520,0,0,1,2,1,0,0,0,0,1,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_234,data\processed\clips\HeStutters_1_234.wav,3.0
HeStutters,1,238,23564640,23612640,0,0,1,0,0,2,0,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_238,data\processed\clips\HeStutters_1_238.wav,3.0
HeStutters,1,241,24104000,24152000,0,0,1,2,0,0,0,1,0,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_241,data\processed\clips\HeStutters_1_241.wav,3.0
HeStutters,1,244,24263200,24311200,0,0,3,0,0,0,0,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_244,data\processed\clips\HeStutters_1_244.wav,3.0
HeStutters,1,246,24364160,24412160,0,0,3,0,0,0,0,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_246,data\processed\clips\HeStutters_1_246.wav,3.0
HeStutters,1,248,24795840,24843840,0,0,1,2,0,0,0,1,1,2,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_248,data\processed\clips\HeStutters_1_248.wav,3.0
HeStutters,1,249,25347520,25395520,0,0,2,1,1,0,0,1,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_249,data\processed\clips\HeStutters_1_249.wav,3.0
HeStutters,1,250,25383200,25431200,0,1,1,0,2,1,1,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_250,data\processed\clips\HeStutters_1_250.wav,3.0
HeStutters,1,251,25457120,25505120,0,1,0,0,0,0,0,1,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_251,data\processed\clips\HeStutters_1_251.wav,3.0
HeStutters,1,252,4712800,4760800,0,0,0,1,2,1,0,3,0,1,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_252,data\processed\clips\HeStutters_1_252.wav,3.0
HeStutters,1,256,26785280,26833280,0,0,0,0,0,0,0,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_256,data\processed\clips\HeStutters_1_256.wav,3.0
HeStutters,1,260,27120640,27168640,0,0,0,1,3,0,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_260,data\processed\clips\HeStutters_1_260.wav,3.0
HeStutters,1,262,27226080,27274080,0,0,0,1,0,2,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_262,data\processed\clips\HeStutters_1_262.wav,3.0
HeStutters,1,267,27572160,27620160,0,0,1,1,2,0,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_267,data\processed\clips\HeStutters_1_267.wav,3.0
HeStutters,11,3,36968160,37016160,0,0,2,0,1,1,1,2,0,1,0,0,Valid,,Prolongation,Train,HeStutters_Ep11,HeStutters_11_3,data\processed\clips\HeStutters_11_3.wav,3.0
HeStutters,11,4,37048000,37096000,0,0,2,0,1,0,1,3,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep11,HeStutters_11_4,data\processed\clips\HeStutters_11_4.wav,3.0
HeStutters,11,6,37319040,37367040,0,0,3,1,1,0,1,2,0,1,0,0,Valid,,Prolongation,Train,HeStutters_Ep11,HeStutters_11_6,data\processed\clips\HeStutters_11_6.wav,3.0
HeStutters,11,7,37348960,37396960,0,0,0,2,0,0,0,3,1,0,0,0,Valid,,Block,Train,HeStutters_Ep11,HeStutters_11_7,data\processed\clips\HeStutters_11_7.wav,3.0
HeStutters,11,8,37454880,37502880,0,0,0,0,0,0,0,3,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_8,data\processed\clips\HeStutters_11_8.wav,3.0
HeStutters,11,9,37488320,37536320,0,0,2,0,0,0,0,1,1,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep11,HeStutters_11_9,data\processed\clips\HeStutters_11_9.wav,3.0
HeStutters,11,10,38522720,38570720,0,0,2,1,0,0,0,3,1,1,0,0,Valid,,Prolongation,Train,HeStutters_Ep11,HeStutters_11_10,data\processed\clips\HeStutters_11_10.wav,3.0
HeStutters,11,11,38551520,38599520,0,0,0,0,0,0,1,0,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_11,data\processed\clips\HeStutters_11_11.wav,3.0
HeStutters,11,12,38948160,38996160,0,0,0,0,0,0,0,0,3,2,0,0,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_12,data\processed\clips\HeStutters_11_12.wav,3.0
HeStutters,11,14,39060960,39108960,1,0,0,0,0,0,0,0,2,0,0,1,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_14,data\processed\clips\HeStutters_11_14.wav,3.0
HeStutters,11,15,39086400,39134400,0,0,0,0,0,0,0,3,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_15,data\processed\clips\HeStutters_11_15.wav,3.0
HeStutters,11,16,39791840,39839840,0,0,0,0,1,2,0,1,0,1,0,0,Valid,,Repetition,Train,HeStutters_Ep11,HeStutters_11_16,data\processed\clips\HeStutters_11_16.wav,3.0
HeStutters,11,17,39821280,39869280,1,1,0,2,0,0,1,2,0,1,0,0,Valid,,Block,Train,HeStutters_Ep11,HeStutters_11_17,data\processed\clips\HeStutters_11_17.wav,3.0
HeStutters,11,20,1771520,1819520,0,0,0,0,0,0,0,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_20,data\processed\clips\HeStutters_11_20.wav,3.0
HeStutters,11,24,1907840,1955840,0,0,0,1,0,3,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep11,HeStutters_11_24,data\processed\clips\HeStutters_11_24.wav,3.0
HeStutters,11,25,2570880,2618880,0,0,0,0,0,0,0,1,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_25,data\processed\clips\HeStutters_11_25.wav,3.0
HeStutters,11,27,4052000,4100000,0,0,0,0,0,0,0,2,3,1,0,0,Valid,,Fluent,Train,HeStutters_Ep11,HeStutters_11_27,data\processed\clips\HeStutters_11_27.wav,3.0
